TimeStamp,Value
20221203221052,41.878294944763184
20221203221053,58.94118547439575
20221203221054,59.947049617767334
20221203221055,61.07149124145508
20221203221056,58.39736461639404
20221203221057,58.23380947113037
20221203221058,55.760037899017334
20221203221059,240.7572627067566
20221203221100,238.23033571243286
20221203221101,82.48085975646973
20221203221102,69.64586973190308
20221203221103,72.23004102706909
20221203221104,80.47322034835815
20221203221105,69.99342441558838
20221203221106,70.99111080169678
20221203221107,72.2259521484375
20221203221108,71.0769772529602
20221203221109,151.71784162521362
20221203221110,6.018829345703125
20221203221111,5.699896812438965
20221203221112,2.7272820472717285
20221203221113,1218.911075592041
20221203221114,3.9784789085388184
20221203221115,9.911441802978516
20221203221116,189.58903551101685
20221203221117,189.64627981185913
20221203221118,189.2087697982788
20221203221119,58.73265266418457
20221203221120,189.63401317596436
20221203221121,189.5563244819641
20221203221122,189.6053910255432
20221203221123,189.58903551101685
20221203221124,153.627347946167
20221203221125,189.818012714386
20221203221126,189.59721326828003
20221203221127,189.63401317596436
20221203221128,189.58085775375366
20221203221129,189.1597032546997
20221203221130,189.17605876922607
20221203221131,189.58903551101685
20221203221132,189.5563244819641
20221203221133,189.22921419143677
20221203221134,189.17196989059448
20221203221135,189.62174654006958
20221203221137,189.6053910255432
20221203221138,189.5563244819641
20221203221139,189.58085775375366
20221203221140,189.69125747680664
20221203221141,189.6135687828064
20221203221142,189.62992429733276
20221203221143,189.64219093322754
20221203221144,189.63810205459595
20221203221145,189.5685911178589
20221203221146,189.6135687828064
20221203221147,189.63810205459595
20221203221148,189.5685911178589
20221203221149,189.17196989059448
20221203221150,189.6135687828064
20221203221151,69.56409215927124
20221203221152,189.60130214691162
20221203221153,189.617657661438
20221203221154,189.57267999649048
20221203221155,189.65036869049072
20221203221156,189.57267999649048
20221203221157,189.62174654006958
20221203221158,189.58085775375366
20221203221159,189.216947555542
20221203221200,189.22921419143677
20221203221201,189.24148082733154
20221203221202,189.58085775375366
20221203221203,189.6094799041748
20221203221204,189.6585464477539
20221203221205,189.22512531280518
20221203221206,189.62992429733276
20221203221207,189.29054737091064
20221203221208,189.2578363418579
20221203221209,189.2660140991211
20221203221210,189.6094799041748
20221203221211,189.63401317596436
20221203221212,190.20236730575562
20221203221213,189.20059204101562
20221203221214,189.2660140991211
20221203221215,189.6135687828064
20221203221216,189.18014764785767
20221203221217,189.22103643417358
20221203221218,189.6135687828064
20221203221219,189.23739194869995
20221203221220,189.17605876922607
20221203221221,189.63401317596436
20221203221222,189.20468091964722
20221203221223,189.22921419143677
20221203221224,189.62174654006958
20221203221225,189.20059204101562
20221203221226,189.27010297775269
20221203221227,189.59721326828003
20221203221228,189.62992429733276
20221203221229,189.1597032546997
20221203221230,189.2128586769104
20221203221231,189.54814672470093
20221203221232,189.59312438964844
20221203221233,189.6626353263855
20221203221234,189.57676887512207
20221203221235,189.58903551101685
20221203221237,189.2087697982788
20221203221238,189.19650316238403
20221203221239,191.82156324386597
20221203221240,189.5645022392273
20221203221241,165.97576141357422
20221203221242,189.5685911178589
20221203221243,189.64219093322754
20221203221244,189.58903551101685
20221203221245,189.1637921333313
20221203221246,189.6094799041748
20221203221247,189.97339010238647
20221203221248,189.9161458015442
20221203221249,189.53588008880615
20221203221250,189.5154356956482
20221203221251,189.65036869049072
20221203221252,189.87934589385986
20221203221253,189.6135687828064
20221203221254,189.62174654006958
20221203221255,189.58085775375366
20221203221256,189.5685911178589
20221203221257,189.6053910255432
20221203221258,189.17605876922607
20221203221259,189.17605876922607
20221203221300,189.19241428375244
20221203221301,189.18423652648926
20221203221302,189.6094799041748
20221203221303,189.24965858459473
20221203221304,189.24965858459473
20221203221305,189.70352411270142
20221203221306,68.61547231674194
20221203221307,189.65036869049072
20221203221308,189.58085775375366
20221203221309,189.62583541870117
20221203221310,189.5563244819641
20221203221311,190.04698991775513
20221203221312,189.55223560333252
20221203221313,189.63810205459595
20221203221314,189.7117018699646
20221203221315,189.6626353263855
20221203221316,189.22512531280518
20221203221317,189.63810205459595
20221203221318,189.6053910255432
20221203221319,189.67081308364868
20221203221320,189.64627981185913
20221203221321,189.5685911178589
20221203221322,189.6053910255432
20221203221323,189.5645022392273
20221203221324,189.62583541870117
20221203221325,189.5685911178589
20221203221326,189.6585464477539
20221203221327,189.58085775375366
20221203221328,191.72343015670776
20221203221329,1218.8947200775146
20221203221330,189.10245895385742
20221203221331,189.22921419143677
20221203221333,189.63810205459595
20221203221334,189.1597032546997
20221203221335,189.19241428375244
20221203221336,189.13516998291016
20221203221337,189.14334774017334
20221203221338,76.54380798339844
20221203221339,189.52770233154297
20221203221340,77.91358232498169
20221203221341,77.49242782592773
20221203221342,28.28277349472046
20221203221343,49.09107685089111
20221203221344,47.365570068359375
20221203221345,189.6053910255432
20221203221346,189.18832540512085
20221203221347,49.78209733963013
20221203221348,189.78530168533325
20221203221349,230.8826208114624
20221203221350,231.10750913619995
20221203221351,230.6781768798828
20221203221352,193.23222637176514
20221203221353,193.1463599205017
20221203221354,192.7088499069214
20221203221355,192.27133989334106
20221203221356,192.26725101470947
20221203221357,193.53889226913452
20221203221358,192.68022775650024
20221203221359,193.1504487991333
20221203221400,192.31222867965698
20221203221401,192.7497386932373
20221203221402,191.89107418060303
20221203221403,193.14227104187012
20221203221404,193.19133758544922
20221203221405,192.34085083007812
20221203221406,192.33676195144653
20221203221407,191.89107418060303
20221203221408,192.28360652923584
20221203221409,192.72111654281616
20221203221410,192.73747205734253
20221203221411,192.66796112060547
20221203221412,192.3490285873413
20221203221413,192.7088499069214
20221203221414,192.7006721496582
20221203221415,192.67613887786865
20221203221416,193.10956001281738
20221203221417,230.25293350219727
20221203221418,192.23862886428833
20221203221419,191.82974100112915
20221203221420,191.83791875839233
20221203221421,192.71702766418457
20221203221422,191.8501853942871
20221203221423,191.82974100112915
20221203221424,155.95800876617432
20221203221425,192.21818447113037
20221203221426,193.1054711341858
20221203221427,193.08093786239624
20221203221428,193.5470700263977
20221203221429,192.69249439239502
20221203221430,230.64546585083008
20221203221431,193.17089319229126
20221203221432,193.57978105545044
20221203221433,193.12182664871216
20221203221435,231.09115362167358
20221203221436,192.32040643692017
20221203221437,194.01320219039917
20221203221438,230.62502145767212
20221203221439,193.09320449829102
20221203221440,188.98797035217285
20221203221441,193.1054711341858
20221203221442,194.01729106903076
20221203221443,230.64546585083008
20221203221444,231.05844259262085
20221203221445,231.06662034988403
20221203221446,337.07079887390137
20221203221447,192.23862886428833
20221203221448,231.06662034988403
20221203221449,194.4466233253479
20221203221450,194.91275548934937
20221203221451,202.98829078674316
20221203221452,230.10982275009155
20221203221453,231.0298204421997
20221203221454,230.6413769721985
20221203221455,230.21613359451294
20221203221456,230.21613359451294
20221203221457,230.20386695861816
20221203221458,230.20795583724976
20221203221459,230.26111125946045
